gene,mean,variance,detected_fraction
AMZ2,1.4381035566329956,4.383127212524414,0.38536060279870826
LOC100132247,2.4916555881500244,4.381403923034668,0.6878363832077503
IFI35,1.2921292781829834,4.378690242767334,0.31453175457481164
ATF7IP,2.092111349105835,4.376519680023193,0.63745963401507
NCOA4,1.5622836351394653,4.371801376342773,0.4316469321851453
MRPS33,1.319741129875183,4.369925022125244,0.316254036598493
PLOD3,1.3824191093444824,4.3683648109436035,0.34617868675995694
NELFCD,1.5664366483688354,4.367330551147461,0.4228202368137783
MRPL24,1.3647749423980713,4.367185592651367,0.3321851453175457
SLC39A1,1.3669133186340332,4.363577365875244,0.3511302475780409
PFDN2,1.4202539920806885,4.361561298370361,0.3468245425188375
PNKD,1.465903401374817,4.360258102416992,0.3666307857911733
PPM1G,1.5455374717712402,4.359121799468994,0.4204520990312164
ACAA1,1.427182674407959,4.35818338394165,0.37868675995694295
SLC44A2,1.5239627361297607,4.356708526611328,0.4333692142088267
BATF,0.9606255292892456,4.3545098304748535,0.20258342303552207
NT5C,1.3496657609939575,4.3501458168029785,0.33476856835306784
SERTAD1,1.079453706741333,4.345192909240723,0.23918191603875136
CAPN2,1.7290763854980469,4.343704700469971,0.5270182992465016
ARGLU1,3.104691743850708,4.343648433685303,0.8006458557588805
DRG1,1.3784672021865845,4.343359470367432,0.34768568353067814
SAR1A,2.0342800617218018,4.343154430389404,0.5918191603875135
TIMM23,1.5049500465393066,4.342301845550537,0.40430570505920344
FARSA,1.3091670274734497,4.3418731689453125,0.3257265877287406
HGS,1.727122187614441,4.341371059417725,0.47168998923573735
IDH3G,1.3146138191223145,4.340311527252197,0.32680301399354145
APOC2,0.8140883445739746,4.3387370109558105,0.14854682454251883
PCBP1,2.32879638671875,4.336333274841309,0.6512378902045209
CHMP4A,1.4155486822128296,4.334958553314209,0.3672766415500538
NDUFA5,1.6185123920440674,4.3347063064575195,0.43745963401507
COMT,1.5315600633621216,4.334353923797607,0.38945102260495157
SLFN5,1.398357629776001,4.3339362144470215,0.45532831001076424
ALDH9A1,1.3513356447219849,4.333131313323975,0.3580193756727664
OTUB1,1.9390864372253418,4.332061767578125,0.5369214208826696
LAMP2,2.25266170501709,4.327852249145508,0.7857911733046287
GRB2,2.8944058418273926,4.327401161193848,0.8146393972012917
SLC35B2,1.3768157958984375,4.327110767364502,0.3504843918191604
ATIC,1.377980351448059,4.324774742126465,0.3519913885898816
SPCS2,2.0430800914764404,4.324634075164795,0.5877287405812702
NOP56,1.658748745918274,4.324328899383545,0.4635091496232508
MAPRE1,1.5578769445419312,4.324312210083008,0.4193756727664155
GADD45GIP1,1.346055030822754,4.323039531707764,0.33110871905274486
GLUL,1.3812713623046875,4.322912693023682,0.3743810548977395
UPK3BL,1.899369478225708,4.3227009773254395,0.5939720129171152
EGLN2,1.3203635215759277,4.321901798248291,0.3377825618945102
COX14,1.5075345039367676,4.321414947509766,0.38751345532831
MRPL43,1.2848621606826782,4.3209147453308105,0.3199138858988159
ACTG1,7.512224197387695,4.310086250305176,0.9638320775026911
VIMP,1.4705764055252075,4.30936861038208,0.3829924650161464
SUCLG1,1.485933542251587,4.308613300323486,0.3879440258342304
GTF3C6,1.4126280546188354,4.307814598083496,0.3519913885898816
CMTM6,1.6968953609466553,4.30661678314209,0.483745963401507
CMC2,1.415654182434082,4.304745197296143,0.35844994617868675
HMG20B,1.3947315216064453,4.303639888763428,0.35543595263724437
CREM,1.3460602760314941,4.299139499664307,0.3797631862217438
CKS2,1.1454700231552124,4.290535926818848,0.26501614639397203
ORMDL1,1.7850624322891235,4.287787437438965,0.4988159311087191
SNRPD3,1.894391655921936,4.285058498382568,0.5091496232508074
MX1,1.1665362119674683,4.284987926483154,0.30182992465016145
ATP5G3,2.36340069770813,4.2844929695129395,0.6176533907427342
TARP,0.811181902885437,4.283668518066406,0.14983853606027986
PARP9,1.6408030986785889,4.276925563812256,0.5640473627556513
TERF2IP,1.6207035779953003,4.2716593742370605,0.4596340150699677
JAK1,2.239901304244995,4.270423412322998,0.6652314316469322
MRPL41,1.4277476072311401,4.269835472106934,0.3528525296017223
EVI2A,1.3385721445083618,4.262216567993164,0.366200215285253
GNG10,1.4259498119354248,4.262151718139648,0.36254036598493006
RABGGTB,1.5012643337249756,4.26177453994751,0.3991388589881593
